p,level,h,N,ndof,err_int_d,CF_int_d,alpha_int_d,err_geo_d,CF_geo_d,alpha_geo_d,err_tot_d,CF_tot_d,alpha_tot_d
1,0,0.5,112,168,0.40240224819847825,nan,nan,0.18581171347890266,nan,nan,0.44538661270193736,nan,nan
1,1,0.25,448,672,0.21037915153332484,1.912747747415153,0.9356466240503514,0.08079270172004983,2.299857654503846,1.2015445709537855,0.22581102513985482,1.972386478587968,0.9799422677970615
1,2,0.125,1792,2688,0.10641619817783185,1.9769466973604972,0.9832739734999215,0.03858276553496816,2.0940101260192496,1.0662684187359772,0.11325761276717622,1.993782312929858,0.9955079006083647
1,3,0.0625,7168,10752,0.053364107345965216,1.9941530641171274,0.9957761501411416,0.019053033591305644,2.0250195513524103,1.0179358371345455,0.056671520121989914,1.998492585400573,0.998912220231131
1,4,0.03125,28672,43008,0.026701640168973324,1.9985329368632962,0.99894134931967,0.009496334870247305,2.0063565419328415,1.0045780045399786,0.028341057629341637,1.9996261559172588,0.9997303032909667
2,0,0.5,112,336,0.21061237831585222,nan,nan,0.006998092229159491,nan,nan,0.21142352553407495,nan,nan
2,1,0.25,448,1344,0.05699624745247546,3.6951972757761777,1.88565138769663,0.0008759491929096576,7.989153121899445,2.9980425805511928,0.05705392006683772,3.7056792116369186,1.8897379974440953
2,2,0.125,1792,5376,0.014540118997573624,3.919929916803754,1.9708278610793832,0.00010951486693077987,7.998450050286884,2.999720459823957,0.01454384469036211,3.9228911805312463,1.9719173161732626
2,3,0.0625,7168,21504,0.003653546548493978,3.9797273155222785,1.9926695830249512,1.3689927606052502e-05,7.999667352686501,2.999940010174082,0.003653781348556132,3.980491250826877,1.9929464914212975
2,4,0.03125,28672,86016,0.0009145491013764622,3.9949156835812616,1.9981650540511586,1.7112580745640233e-06,7.99991994751597,2.999985563512555,0.0009145638069637264,3.9951081824311125,1.998234570022767
3,0,0.5,112,840,0.04119361594473855,nan,nan,0.003794754241793196,nan,nan,0.0416323317043736,nan,nan
3,1,0.25,448,3360,0.00560771109262814,7.345887700757516,2.876936841237199,0.0004941297413735891,7.679671802884163,2.9410446574999773,0.005681526046590959,7.327667137837715,2.87335396993353
3,2,0.125,1792,13440,0.0007161648720099128,7.830195687886966,2.969048362997324,6.237519454187878e-05,7.921894993719495,2.985845578161976,0.0007261066622630566,7.824643873784805,2.968025091570318
3,3,0.0625,7168,53760,9.000282188560926e-05,7.9571379764085135,2.9922496154777627,7.815840573821784e-06,7.980612443759021,2.996499465203247,9.126891111407482e-05,7.955684508556406,2.991986065643013
3,4,0.03125,28672,215040,1.1265478574830613e-05,7.989258626499367,2.9980616326278944,9.775712561532089e-07,7.995162014662238,2.9991272689002924,1.1424478047385224e-05,7.988891110431428,2.997995265292817
4,0,0.5,112,1568,0.008252223816605106,nan,nan,0.0001988262408085409,nan,nan,0.008275688508702648,nan,nan
4,1,0.25,448,6272,0.0005669830603172285,14.55462145903965,3.863405412790637,6.458994961041412e-06,30.78284501037655,4.944054669395706,0.0005674486576767215,14.584030461161742,3.8663175746875997
4,2,0.125,1792,25088,3.629443640883323e-05,15.621762353065161,3.96548531370689,2.0372416196978335e-07,31.704609304022654,4.986620693505905,3.630215980310702e-05,15.63126438631772,3.9663625750863103
4,3,0.0625,7168,100352,2.2820475357017504e-06,15.904329704364534,3.99134766496869,6.380992179205861e-09,31.926721777480317,4.996692520073037,2.2821700289996836e-06,15.90686028727619,3.9915771979994172
4,4,0.03125,28672,401408,1.4284212347757324e-07,15.976012398471804,3.997835452411758,1.9951967039485868e-10,31.98176985044924,4.999177873724821,1.4284404457308275e-07,15.97665507036288,3.9978934869749883
